"any","ambit","valor","diferencia"
1999,"Metropolità",4301721,0.89
1999,"Comarques Gironines",543324,2.11
1999,"Camp de Tarragona",432545,1.77
1999,"Terres de l'Ebre",155954,0.47
1999,"Ponent",296294,0.3
1999,"Comarques Centrals",416672,0.53
1999,"Alt Pirineu i Aran",62307,1.25
1999,"Penedès",0,0
2000,"Metropolità",4328447,0.62
2000,"Comarques Gironines",553964,1.96
2000,"Camp de Tarragona",442249,2.24
2000,"Terres de l'Ebre",156284,0.21
2000,"Ponent",297763,0.5
2000,"Comarques Centrals",420039,0.81
2000,"Alt Pirineu i Aran",63253,1.52
2000,"Penedès",0,0
2001,"Metropolità",4390413,1.43
2001,"Comarques Gironines",567552,2.45
2001,"Camp de Tarragona",453289,2.5
2001,"Terres de l'Ebre",158797,1.61
2001,"Ponent",300686,0.98
2001,"Comarques Centrals",426561,1.55
2001,"Alt Pirineu i Aran",64067,1.29
2001,"Penedès",0,0
2002,"Metropolità",4482623,2.1
2002,"Comarques Gironines",585421,3.15
2002,"Camp de Tarragona",469285,3.53
2002,"Terres de l'Ebre",161871,1.94
2002,"Ponent",305744,1.68
2002,"Comarques Centrals",435959,2.2
2002,"Alt Pirineu i Aran",65537,2.29
2002,"Penedès",0,0
2003,"Metropolità",4618257,3.03
2003,"Comarques Gironines",606806,3.65
2003,"Camp de Tarragona",488262,4.04
2003,"Terres de l'Ebre",165887,2.48
2003,"Ponent",311254,1.8
2003,"Comarques Centrals",447015,2.54
2003,"Alt Pirineu i Aran",66665,1.72
2003,"Penedès",0,0
2004,"Metropolità",4673648,1.2
2004,"Comarques Gironines",622936,2.66
2004,"Camp de Tarragona",505351,3.5
2004,"Terres de l'Ebre",168793,1.75
2004,"Ponent",317183,1.9
2004,"Comarques Centrals",457022,2.24
2004,"Alt Pirineu i Aran",68386,2.58
2004,"Penedès",0,0
2005,"Metropolità",4770180,2.07
2005,"Comarques Gironines",650601,4.44
2005,"Camp de Tarragona",530115,4.9
2005,"Terres de l'Ebre",174792,3.55
2005,"Ponent",329711,3.95
2005,"Comarques Centrals",469337,2.69
2005,"Alt Pirineu i Aran",70470,3.05
2005,"Penedès",0,0
2006,"Metropolità",4841365,1.49
2006,"Comarques Gironines",673351,3.5
2006,"Camp de Tarragona",553004,4.32
