"NOMBRE_ESTACION","TRAMO_HORARIO","TOTAL"
"BADALONA",0,10
"BADALONA",5,41
"BADALONA",6,265
"BADALONA",7,1175
"BADALONA",8,1206
"BADALONA",9,750
"BADALONA",10,528
"BADALONA",11,584
"BADALONA",12,492
"BADALONA",13,627
"BADALONA",14,800
"BADALONA",15,715
"BADALONA",16,762
"BADALONA",17,647
"BADALONA",18,895
"BADALONA",19,802
"BADALONA",20,617
"BADALONA",21,444
"BADALONA",22,171
"BADALONA",23,48
"CASTELLDEFELS",0,7
"CASTELLDEFELS",5,23
"CASTELLDEFELS",6,283
"CASTELLDEFELS",7,1337
"CASTELLDEFELS",8,1317
"CASTELLDEFELS",9,663
"CASTELLDEFELS",10,463
"CASTELLDEFELS",11,336
"CASTELLDEFELS",12,392
"CASTELLDEFELS",13,649
"CASTELLDEFELS",14,972
"CASTELLDEFELS",15,1084
"CASTELLDEFELS",16,672
"CASTELLDEFELS",17,1060
"CASTELLDEFELS",18,1193
"CASTELLDEFELS",19,815
"CASTELLDEFELS",20,1067
"CASTELLDEFELS",21,592
"CASTELLDEFELS",22,328
"CASTELLDEFELS",23,66
"CERDANYOLA DEL VALLES",0,36
"CERDANYOLA DEL VALLES",4,49
"CERDANYOLA DEL VALLES",5,20
"CERDANYOLA DEL VALLES",6,522
"CERDANYOLA DEL VALLES",7,1128
"CERDANYOLA DEL VALLES",8,1386
"CERDANYOLA DEL VALLES",9,833
"CERDANYOLA DEL VALLES",10,627
"CERDANYOLA DEL VALLES",11,426
"CERDANYOLA DEL VALLES",12,589
"CERDANYOLA DEL VALLES",13,768
"CERDANYOLA DEL VALLES",14,938
"CERDANYOLA DEL VALLES",15,949
"CERDANYOLA DEL VALLES",16,673
"CERDANYOLA DEL VALLES",17,726
"CERDANYOLA DEL VALLES",18,1062
"CERDANYOLA DEL VALLES",19,968
"CERDANYOLA DEL VALLES",20,679
"CERDANYOLA DEL VALLES",21,448
"CERDANYOLA DEL VALLES",22,300
"CERDANYOLA DEL VALLES",23,147
"GRANOLLERS-CENTRE",0,66
"GRANOLLERS-CENTRE",5,52
"GRANOLLERS-CENTRE",6,334
"GRANOLLERS-CENTRE",7,1548
"GRANOLLERS-CENTRE",8,974
"GRANOLLERS-CENTRE",9,579
"GRANOLLERS-CENTRE",10,286
"GRANOLLERS-CENTRE",11,415
"GRANOLLERS-CENTRE",12,448
"GRANOLLERS-CENTRE",13,642
"GRANOLLERS-CENTRE",14,522
"GRANOLLERS-CENTRE",15,724
"GRANOLLERS-CENTRE",16,503
"GRANOLLERS-CENTRE",17,511
"GRANOLLERS-CENTRE",18,737
"GRANOLLERS-CENTRE",19,661
"GRANOLLERS-CENTRE",20,706
"GRANOLLERS-CENTRE",21,413
"GRANOLLERS-CENTRE",22,124
"GRANOLLERS-CENTRE",23,44
"SABADELL CENTRE",0,48
"SABADELL CENTRE",4,24
"SABADELL CENTRE",5,26
"SABADELL CENTRE",6,333
"SABADELL CENTRE",7,1387
"SABADELL CENTRE",8,1300
"SABADELL CENTRE",9,836
"SABADELL CENTRE",10,471
"SABADELL CENTRE",11,485
"SABADELL CENTRE",12,520
"SABADELL CENTRE",13,801
"SABADELL CENTRE",14,899
"SABADELL CENTRE",15,838
"SABADELL CENTRE",16,688
"SABADELL CENTRE",17,748
"SABADELL CENTRE",18,814
"SABADELL CENTRE",19,792
"SABADELL CENTRE",20,749
"SABADELL CENTRE",21,484
"SABADELL CENTRE",22,160
"SABADELL CENTRE",23,95
"SANT FELIU DE LLOBREGAT",0,25
"SANT FELIU DE LLOBREGAT",5,103
"SANT FELIU DE LLOBREGAT",6,427
"SANT FELIU DE LLOBREGAT",7,1351
"SANT FELIU DE LLOBREGAT",8,1354
"SANT FELIU DE LLOBREGAT",9,710
"SANT FELIU DE LLOBREGAT",10,403
"SANT FELIU DE LLOBREGAT",11,483
"SANT FELIU DE LLOBREGAT",12,477
"SANT FELIU DE LLOBREGAT",13,757
"SANT FELIU DE LLOBREGAT",14,938
"SANT FELIU DE LLOBREGAT",15,805
"SANT FELIU DE LLOBREGAT",16,695
"SANT FELIU DE LLOBREGAT",17,863
"SANT FELIU DE LLOBREGAT",18,959
"SANT FELIU DE LLOBREGAT",19,866
"SANT FELIU DE LLOBREGAT",20,654
"SANT FELIU DE LLOBREGAT",21,465
"SANT FELIU DE LLOBREGAT",22,187
"SANT FELIU DE LLOBREGAT",23,181
"SITGES",0,2
"SITGES",4,59
"SITGES",5,30
"SITGES",6,380
"SITGES",7,817
"SITGES",8,1067
"SITGES",9,617
"SITGES",10,552
"SITGES",11,487
"SITGES",12,565
"SITGES",13,608
"SITGES",14,725
"SITGES",15,807
"SITGES",16,651
"SITGES",17,789
"SITGES",18,784
"SITGES",19,582
"SITGES",20,588
"SITGES",21,514
"SITGES",22,216
"SITGES",23,122
"TERRASSA",0,48
"TERRASSA",4,22
"TERRASSA",5,35
"TERRASSA",6,379
"TERRASSA",7,1789
"TERRASSA",8,1412
"TERRASSA",9,715
"TERRASSA",10,583
"TERRASSA",11,388
"TERRASSA",12,421
"TERRASSA",13,712
"TERRASSA",14,1086
"TERRASSA",15,630
"TERRASSA",16,594
"TERRASSA",17,769
"TERRASSA",18,883
"TERRASSA",19,819
"TERRASSA",20,926
"TERRASSA",21,567
"TERRASSA",22,238
"TERRASSA",23,106
