any;àmbits territorials de planificació;sexe;concepte;estat;valor
1998;Metropolità;homes;població;;2069125
1998;Metropolità;dones;població;;2194724
1998;Metropolità;total;població;;4263849
1998;Comarques Gironines;homes;població;;263743
1998;Comarques Gironines;dones;població;;268364
1998;Comarques Gironines;total;població;;532107
1998;Camp de Tarragona;homes;població;;211175
1998;Camp de Tarragona;dones;població;;213848
1998;Camp de Tarragona;total;població;;425023
1998;Terres de l'Ebre;homes;població;;77164
1998;Terres de l'Ebre;dones;població;;78058
1998;Terres de l'Ebre;total;població;;155222
1998;Ponent;homes;població;;146419
1998;Ponent;dones;població;;148988
1998;Ponent;total;població;;295407
1998;Comarques Centrals;homes;població;;203808
1998;Comarques Centrals;dones;població;;210658
1998;Comarques Centrals;total;població;;414466
1998;Alt Pirineu i Aran;homes;població;;31250
1998;Alt Pirineu i Aran;dones;població;;30286
1998;Alt Pirineu i Aran;total;població;;61536
1998;Penedès;homes;població;..;null
1998;Penedès;dones;població;..;null
1998;Penedès;total;població;..;null
1998;Catalunya;homes;població;;3002684
1998;Catalunya;dones;població;;3144926
1998;Catalunya;total;població;;6147610
1999;Metropolità;homes;població;;2089310
1999;Metropolità;dones;població;;2212411
1999;Metropolità;total;població;;4301721
1999;Comarques Gironines;homes;població;;269715
1999;Comarques Gironines;dones;població;;273609
1999;Comarques Gironines;total;població;;543324
1999;Camp de Tarragona;homes;població;;215104
1999;Camp de Tarragona;dones;població;;217441
1999;Camp de Tarragona;total;població;;432545
1999;Terres de l'Ebre;homes;població;;77589
1999;Terres de l'Ebre;dones;població;;78365
1999;Terres de l'Ebre;total;població;;155954
1999;Ponent;homes;població;;147036
1999;Ponent;dones;població;;149258
1999;Ponent;total;població;;296294
1999;Comarques Centrals;homes;població;;205066
1999;Comarques Centrals;dones;població;;211606
1999;Comarques Centrals;total;població;;416672
1999;Alt Pirineu i Aran;homes;població;;31677
1999;Alt Pirineu i Aran;dones;població;;30630
1999;Alt Pirineu i Aran;total;població;;62307
1999;Penedès;homes;població;..;null
1999;Penedès;dones;població;..;null
1999;Penedès;total;població;..;null
1999;Catalunya;homes;població;;3035497
1999;Catalunya;dones;població;;3173320
1999;Catalunya;total;població;;6208817
2000;Metropolità;homes;població;;2098625
2000;Metropolità;dones;població;;2229822
2000;Metropolità;total;població;;4328447
2000;Comarques Gironines;homes;població;;275488
2000;Comarques Gironines;dones;població;;278476
2000;Comarques Gironines;total;població;;553964
2000;Camp de Tarragona;homes;població;;219990
2000;Camp de Tarragona;dones;població;;222259
2000;Camp de Tarragona;total;població;;442249
2000;Terres de l'Ebre;homes;població;;77755
2000;Terres de l'Ebre;dones;població;;78529
2000;Terres de l'Ebre;total;població;;156284
2000;Ponent;homes;població;;147722
2000;Ponent;dones;població;;150041
2000;Ponent;total;població;;297763
2000;Comarques Centrals;homes;població;;206849
2000;Comarques Centrals;dones;població;;213190
2000;Comarques Centrals;total;població;;420039
2000;Alt Pirineu i Aran;homes;població;;32199
2000;Alt Pirineu i Aran;dones;població;;31054
2000;Alt Pirineu i Aran;total;població;;63253
2000;Penedès;homes;població;..;null
2000;Penedès;dones;població;..;null
2000;Penedès;total;població;..;null
2000;Catalunya;homes;població;;3058628
2000;Catalunya;dones;població;;3203371
2000;Catalunya;total;població;;6261999
2001;Metropolità;homes;població;;2133168
2001;Metropolità;dones;població;;2257245
2001;Metropolità;total;població;;4390413
2001;Comarques Gironines;homes;població;;283080
2001;Comarques Gironines;dones;població;;284472
2001;Comarques Gironines;total;població;;567552
2001;Camp de Tarragona;homes;població;;226124
2001;Camp de Tarragona;dones;població;;227165
2001;Camp de Tarragona;total;població;;453289
2001;Terres de l'Ebre;homes;població;;79565
